"uri","label","category","main_tags","event_tags","architecture_tags"
"15/da6890f6-d831-3789-81e0-f0a48e7dd5b6","Balade en voiturette électrique","sport","EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace","EquipmentRental;FreePractice;Practice;Product;Rental",""
"15/daf1a46d-427a-34ef-ada6-1ccb26bc70ea","Le Presbytère de Beaulieu","act","Accommodation;CollectiveAccommodation;PlaceOfInterest;StopOverOrGroupLodge","",""
"15/db160071-3516-36c2-9f68-960a5e286adf","Errard","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/db39a3f4-7ac9-3721-a8fc-6147636cf281","Jardin des Métamorphozes","park","CulturalSite;ParkAndGarden;PlaceOfInterest","",""
"15/db622393-8889-3c73-a810-c40357aa06b3","Château Golf des Sept Tours","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/dbf8aaf4-6d1a-33d8-8d9f-ade7e45f264f","La Cabane aux Chênes","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/dc5e6d11-6499-30fc-ab67-59c8412a54da","Le Saint-Vincent","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/dc965acc-e50b-3840-a3f3-053ee60c61db","Camping Parc de Vauchevrier","camping","Accommodation;Camping;CampingAndCaravanning;PlaceOfInterest","",""
"15/dcc68b74-3df6-3c7e-bc3c-432dfb684dbd","La Cave aux Fouées","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/dce0a9f1-0a97-36e3-9231-40200214243f","Location de salle et séminaire au Château Royal de Blois","act","BusinessPlace;ConventionCentre;PlaceOfInterest","",""
"15/dceffd4d-ee43-36f6-ba69-2449b829a8d9","L'Aigle d'Or","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/dd22401d-7d86-377c-b0fa-1f31761377a6","Église Saint Martin - Pietà de Jean Fouquet","church","Church;CulturalSite;PlaceOfInterest;ReligiousSite","",""
"15/dd46e0e4-1c1d-3cd4-95bd-904fe7971694","Les Cabanes des châteaux","camping","Accommodation;Camping;CampingAndCaravanning;PlaceOfInterest","",""
"15/dd807f23-7d94-37d9-be50-0aa12c718772","Aire de stationnement de la Ferme des Bournaichères","camping","Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest","",""
"15/dd96d04e-52d0-30c6-86f7-506d67628c7b","Camping l'Île d'Or","camping","Accommodation;Camping;CampingAndCaravanning;PlaceOfInterest","",""
"15/dd9eb6eb-c822-3820-beae-dfcb7f8257b1","Hôtel Val de Loire","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/dda2643a-f88f-3096-b3d8-10b22f86ed8f","Gîte des orfeuilles","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/ddc1b9d2-9692-3acf-a653-288854d8894e","La Sauvagère","gite","Accommodation;Guesthouse;PlaceOfInterest;RentalAccommodation","",""
"15/ddcb0ee2-608d-3e76-9212-0cb112d10fb4","Museum d'Histoire Naturelle","museum","CulturalSite;Museum;PlaceOfInterest","",""
"15/ddd47014-7488-3d26-96b8-080c4781e395","La Bicyclerie - Coffee Bike","sport","EquipmentRepairShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace","",""
"15/ddec9a31-1abe-378c-8a2b-66ccbc6083d3","La Chancellerie - Gîte","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/ddf2a152-17a3-3ffd-a219-eb443326c3cc","Appartement In the Mood for Loches®","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/de091f64-162d-34f5-ad6b-c01fbe2fa5cd","Visites Ludiques","act","CityHeritage;CulturalSite;PlaceOfInterest;ReligiousSite","","Renaissance"
"15/de34d142-37bc-35f8-8713-9287b92a3835","Balad' Vintage","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/de3be3b9-f03c-31dd-ad32-d55871b99362","Auberge de Port Vallières","Resto","FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/de3c1fc1-f21b-3721-8109-a6ea23eedc53","The Originals Le Haut des Lys","Hotel","Accommodation;Hotel;HotelTrade;PlaceOfInterest","",""
"15/de4113f5-bf76-3eed-9092-4006a7db5857","La Bonnheure","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/de4a2da8-beb3-3a0f-83d9-86899c998c69","Gîte L'Hermine","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/de512164-513a-3736-93a8-fa126d1e4cbb","Le Cosy Blois Nord - restaurant","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/de61936e-ee96-3a4d-b815-e7d62d071b97","Le Plessis-Lepage","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/deac4368-ae1e-3f74-b26c-6b53084ae6f8","La Part Belle","bar","BistroOrWineBar;CafeOrTeahouse;FoodEstablishment;PlaceOfInterest;Restaurant","",""
"15/df169551-01d8-3887-a62b-eef31d1d6f9f","Meublé route de Chambord","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/df2d146a-8a3a-3f31-ad34-6e9ff46d17bf","Domaine de la Tortinière","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/df4f0cc1-a49a-36c4-a0a5-12d9a7b773fa","Moulin d'Arrivay","nature","CulturalSite;Mill;NaturalHeritage;PlaceOfInterest;TechnicalHeritage","",""
"15/df79c4a0-7557-3ef5-b582-6a91e70ed88b","Location de vélos","sport","EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace","EquipmentRental;Product;Rental",""
"15/dfacf19c-e130-3c8c-a1e2-425998b0f594","La closerie","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/dfb658ee-7837-3d25-8b82-ea3e559fc22f","Le Grand Hôtel","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/dff7fc32-f276-3d75-b214-4574508fc1e7","Aire de stationnement camping-cars","camping","Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest","",""
"15/e0818972-993d-3adb-a3ec-47268f6df263","Gîte La Balançoire","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e0acd3aa-c5f6-365e-948e-6836e86ade36","Ferme de la Guilbardière","tasting","PlaceOfInterest;TastingProvider","Practice;Product;Tasting",""
"15/e0b4faf7-11e4-30ca-80cd-e2882fd5898d","Domaine Dutertre","tasting","PlaceOfInterest;Producer;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/e10b2790-fc85-310d-9d22-a64ab3681baf","Atelier les dentelles d'Isabelle","sport","PlaceOfInterest;SportsAndLeisurePlace","Course;IntroductionCourse;Practice;Product",""
"15/e10b6ea6-a959-36c5-984d-accf236c7254","Restaurant Hôtel de l'Ecole","Hotel","Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant","",""
"15/e1154a24-ab4c-306b-a6df-d565c43659c2","Aire de services municipale Avenue Aristide Briand","camping","Accommodation;CamperVanArea;CampingAndCaravanning;PlaceOfInterest","",""
"15/e12bd8d7-0809-3929-8713-ffb18b151beb","Gîte Les Châteaux de la Loire","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e1540320-86ce-3239-a683-b0929e427f21","France Montgolfières sarl","sport","PlaceOfInterest;SportsAndLeisurePlace","",""
"15/e165f0e5-f1c4-3dd2-9e95-dd5ae11ad7d3","Suite Phillippe","gite","Accommodation;PlaceOfInterest;RentalAccommodation;SelfCateringAccommodation","",""
"15/e17fe78c-bd04-3f16-93b5-3511d5e93222","Rendez-vous dans les vignes","tasting","PlaceOfInterest;Producer;TastingProvider;WineCellar","Practice;Product;Tasting",""
"15/e1879945-44c5-39d3-a70b-7825df85a768","Production de miel - Les Belles Demois'ailes","tasting","PlaceOfInterest;TastingProvider","Practice;Product;Tasting",""
"15/e19cbb81-0773-3117-94fa-e77088c3a660","Aventure Canoë sur le Cher","sport","EquipmentRentalShop;PlaceOfInterest;ServiceProvider;SportsAndLeisurePlace","AccompaniedPractice;DevelopmentCourse;EquipmentRental;FreePractice;IntroductionCourse;Practice;Product;Rental",""
