uri,label,category,main_tags,event_tags,architecture_tags
15/12a64454-4491-3faa-ab7c-3547cb12a392,Les pagodes de beauval,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/143a1e35-563c-3060-ba1f-f5c956c88c3b,Restaurant de la Mère Hamard,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/17481194-770c-3910-ab51-be35647b2ab8,Le Colombien,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/19933ac5-c31a-327c-af55-fe143b71f4cd,Le Relais de Chambord,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/19a3b055-6b50-3472-84c3-0cc94849831e,La Brèche,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/1a235059-b12d-390b-a2df-24c02448cd0f,Le Médicis,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/1efa0dbe-574b-3367-9bfe-89c6a154bbb3,Hôtel Bellevue,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/1f26ad2b-6d53-358f-90cd-2d0803f5d1de,Le Cheval Rouge,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/1f617bac-d940-3e92-b944-a58a89dbe266,Le Mercator,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/2224c427-f5f9-3396-8d28-c27e2a672f36,Le Monarque,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/2347c2af-1066-3020-b68d-44681de96b75,Hôtel Le Clos d'Amboise,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/234eea2a-8ae0-3887-b7c4-8a7db6df3ea3,Hôtel Mercure Tours Nord,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/23c6fbb0-4ad7-3dd5-b971-481f6c294d31,Villa Bellagio Blois,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
15/249dd101-8115-34c4-8457-e3c1af66868b,The Originals Blois sud Ikar,Hotel,Accommodation;FoodEstablishment;Hotel;HotelRestaurant;HotelTrade;PlaceOfInterest;Restaurant,"",""
